"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","actual_choice","actual_EV","binary_id","trinary_id","catch","direction","A_key","S_key","D_key","choice_prob","choice_amount","chosen_part","accuracy"
"true","false","[]","[]","[]","preload","0","12","0.0-0.0","017","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","727","0.0-1.0","017","null","","null","delay","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","23407","0.0-2.0","017","22678","
          <h1>חלק 2</h1>
          <p>ברוכים הבאים לחלק 2 של הניסוי.
          <br>בחלק זה יוצגו בפניכם שלוש הגרלות.
          <br>אתם מתבקשים לבחור את ההגרלה שתרצו להשתתף בה.
          <br>שימו לב! בסוף הניסוי נבחר שלב אחד באקראי ונממש את ההגרלה שבחרתם בו. כלומר, הבחירה שלכם יכולה להפוך לכסף אמיתי.
          <br><br>לחצו רווח כדי להמשיך.</p>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","50424","0.0-3.0","017","26300","
          <p>בואו נתחיל בדוגמה:
          <br>לפניכם שלוש הגרלות.
          <br>לחצו 'A' אם אתם מעדיפים את ההגרלה השמאלית
          <br>לחצו 'S' אם אתם מעדיפים את ההגרלה האמצעית
          <br>לחצו 'D' אם אתם מעדיפים את ההגרלה הימנית
          <p class=""lotteries"">
            <span><img src='img/A.png', width=""30""></span>
            <span><img src='img/S.png', width=""30""></span>
            <span><img src='img/D.png', width=""30""></span>
          </p>
          <p class=""lotteries"">
            <span>₪39</span>
            <span>₪46</span>
            <span>₪54</span>
          </p>
          <p class=""lotteries"">
            <span>65%</span>
            <span>40%</span>
            <span>35%</span>
          </p>","a","example","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","60431","0.0-4.0","017","9297","<p>עבודה טובה!
                  <br>בחרתם את ההגרלה השמאלית.  
                  <br>בואו ננסה דוגמה נוספת:
                  <p class=""lotteries"">
                    <span><img src='img/A.png', width=""30""></span>
                    <span><img src='img/S.png', width=""30""></span>
                    <span><img src='img/D.png', width=""30""></span>
                  </p>
                  <p class=""lotteries"">
                    <span>₪29</span>
                    <span>₪18</span>
                    <span>₪43</span>
                  </p>
                  <p class=""lotteries"">
                    <span>30%</span>
                    <span>50%</span>
                    <span>65%</span>
                  </p>","d","example","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","65064","0.0-5.0","017","3923","<p>בחרתם את ההגרלה הימנית. נשמע נכון?
                  <br><br>כעת נתחיל בניסוי.
                  <br>אתם תראו שלשות של הגרלות ותתבקשו לבחור את ההגרלה המועדפת עליכם.
                  <br>חלק זה לא מוגבל בזמן.
                  <br><br>לחצו רווח כדי להתחיל את הניסוי.</p>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","67144","0.0-6.0-0.0","017","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","74104","0.0-6.0-1.0","017","6955","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪11</span>
                      <span>₪39</span>
                      <span>₪58</span>
                    </p>
                    <p class=""lotteries"">
                      <span>45%</span>
                      <span>60%</span>
                      <span>45%</span>
                    </p>","s","trinary","B","23.4","25","25","0","A","C","B","A","60","39","",""
"","","","","","html-keyboard-response","8","75426","0.0-6.0-0.1","017","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","84664","0.0-6.0-1.1","017","9236","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪36</span>
                      <span>₪36</span>
                      <span>₪71</span>
                    </p>
                    <p class=""lotteries"">
                      <span>75%</span>
                      <span>70%</span>
                      <span>55%</span>
                    </p>","d","trinary","B","39.05","5","5","0","A","A","C","B","55","71","",""
"","","","","","html-keyboard-response","10","85418","0.0-6.0-0.2","017","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","88832","0.0-6.0-1.2","017","3412","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪58</span>
                      <span>₪43</span>
                      <span>₪61</span>
                    </p>
                    <p class=""lotteries"">
                      <span>45%</span>
                      <span>75%</span>
                      <span>45%</span>
                    </p>","s","trinary","B","32.25","11","11","0","A","C","B","A","75","43","",""
"","","","","","html-keyboard-response","12","90044","0.0-6.0-0.3","017","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","94872","0.0-6.0-1.3","017","4826","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪11</span>
                      <span>₪18</span>
                      <span>₪11</span>
                    </p>
                    <p class=""lotteries"">
                      <span>20%</span>
                      <span>50%</span>
                      <span>25%</span>
                    </p>","s","trinary","A","9","28","28","1","-","C","A","B","50","18","",""
"","","","","","html-keyboard-response","14","95587","0.0-6.0-0.4","017","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","",""
