"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","slider_start","ID","set_ID","prob","amount","last_location","actual_choice","actual_EV","binary_id","trinary_id","catch","A_key","D_key","choice_prob","choice_amount","chosen_part","potential_prize_prob","potential_prize_amount","won_prize","total_prize","prize_cost","accuracy"
"","","","","","html-keyboard-response","10","1335854","0.0-10.0","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p>במהלך הניסוי, קודם תראו את ההגרלה ורק לאחר מכן תוכלו לבחור.
                <p>כמו כן, יהיו לכם מספר שניות מוגבל להגיב.
                <p>בואו ננסה זאת עם ההגרלה הקודמת.
                <br>לחצו על העכבר כדי להמשיך.</p>","1","instructions","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","11","1337109","0.0-11.0","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                    <p style=""text-align: center;"">₪18<br>35%</p>
                    <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","47","instructions","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","12","1337550","0.0-12.0","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","188","
                    <p style=""text-align: center;"">₪18<br>35%</p>
                    <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","60","instructions","60","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","1341678","0.0-13.0","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p>יפה. הפעם בחרתם לשלם לכל היותר ₪60.
                <br><br>לחצו על העכבר כדי להמשיך.</p>","1","instructions","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","1352191","0.0-15.0","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p>כעת נתחיל את הניסוי.
                <br><br>אתם תראו הגרלות ותתבקשו לבחור כמה תהיו מוכנים לשלם כדי להשתתף בהן.
                <br>יש לכם תקציב של ₪80 עבור כל הגרלה.
                <br>בסוף הניסוי הגרלה אחת תבחר באקראי ותשוחק.
                <br><br>לחצו על העכבר כדי להתחיל את הניסוי.</p>","1","instructions","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","1353441","0.0-16.0","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","16","1354446","0.0-17.0-0.0","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪58
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","20","10C,13A,19C,21B","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","17","1358449","0.0-17.0-1.0","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","
                  <p style=""text-align: center;"">₪58
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","null","evaluation","66","20","10C,13A,19C,21B","40","58","46","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","1359740","0.0-17.0-2.0","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","19","1360743","0.0-17.0-0.1","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪76
                                                <br>65%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","29","8C,19A,24B","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","20","1363471","0.0-17.0-1.1","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","2726","
                  <p style=""text-align: center;"">₪76
                                                <br>65%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","62","evaluation","52","29","8C,19A,24B","65","76","62","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","1364012","0.0-17.0-2.1","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","22","1365014","0.0-17.0-0.2","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪61
                                                <br>55%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","23","7B,26B","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","23","1368535","0.0-17.0-1.2","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","3519","
                  <p style=""text-align: center;"">₪61
                                                <br>55%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","66","evaluation","18","23","7B,26B","55","61","65","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","1369868","0.0-17.0-2.2","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","25","1370871","0.0-17.0-0.3","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪4
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","1","6C,29B,30C","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","26","1372687","0.0-17.0-1.3","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1814","
                  <p style=""text-align: center;"">₪4
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","4","evaluation","9","1","6C,29B,30C","25","4","5","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","1373989","0.0-17.0-2.3","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","28","1374992","0.0-17.0-0.4","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪18
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","9","14A,23A","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","29","1377630","0.0-17.0-1.4","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","2637","
                  <p style=""text-align: center;"">₪18
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","6","evaluation","44","9","14A,23A","25","18","6","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","1378698","0.0-17.0-2.4","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","31","1379701","0.0-17.0-0.5","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪79
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","30","9B","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","32","1383713","0.0-17.0-1.5","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","
                  <p style=""text-align: center;"">₪79
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","null","evaluation","16","30","9B","40","79","76","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","1384275","0.0-17.0-2.5","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","34","1385278","0.0-17.0-0.6","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪11
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","7","6B,18B,22C,24C,29A","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","35","1389278","0.0-17.0-1.6","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","
                  <p style=""text-align: center;"">₪11
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","null","evaluation","0","7","6B,18B,22C,24C,29A","75","11","33","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","1389949","0.0-17.0-2.6","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","37","1390951","0.0-17.0-0.7","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪71
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","28","8B","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","38","1393343","0.0-17.0-1.7","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","2391","
                  <p style=""text-align: center;"">₪71
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","58","evaluation","75","28","8B","75","71","58","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","1394421","0.0-17.0-2.7","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","40","1395423","0.0-17.0-0.8","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪4
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","3","12B,20B,23B,27C,29C","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","41","1398654","0.0-17.0-1.8","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","3231","
                  <p style=""text-align: center;"">₪4
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","46","evaluation","38","3","12B,20B,23B,27C,29C","75","4","46","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","1400084","0.0-17.0-2.8","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","43","1401086","0.0-17.0-0.9","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪79
                                                <br>65%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","31","8A","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","44","1402486","0.0-17.0-1.9","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1399","
                  <p style=""text-align: center;"">₪79
                                                <br>65%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","74","evaluation","15","31","8A","65","79","74","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","45","1403716","0.0-17.0-2.9","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","46","1404718","0.0-17.0-0.10","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪36
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","12","1C,7C,15C","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","47","1406830","0.0-17.0-1.10","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","2111","
                  <p style=""text-align: center;"">₪36
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","30","evaluation","31","12","1C,7C,15C","60","36","30","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","1407883","0.0-17.0-2.10","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","49","1408885","0.0-17.0-0.11","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪58
                                                <br>30%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","19","13C,30A","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","50","1410646","0.0-17.0-1.11","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1760","
                  <p style=""text-align: center;"">₪58
                                                <br>30%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","21","evaluation","72","19","13C,30A","30","58","21","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","51","1411258","0.0-17.0-2.11","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","52","1412261","0.0-17.0-0.12","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪18
                                                <br>50%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","10","2C,16C,22B,28A","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","53","1416230","0.0-17.0-1.12","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","3968","
                  <p style=""text-align: center;"">₪18
                                                <br>50%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","15","evaluation","47","10","2C,16C,22B,28A","50","18","15","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","54","1417703","0.0-17.0-2.12","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","55","1418705","0.0-17.0-0.13","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪58
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","21","11C,18C,25A","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","56","1422678","0.0-17.0-1.13","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","3972","
                  <p style=""text-align: center;"">₪58
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","53","evaluation","44","21","11C,18C,25A","45","58","53","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","1423711","0.0-17.0-2.13","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","58","1424714","0.0-17.0-0.14","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪39
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","15","9C,25B","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","59","1428654","0.0-17.0-1.14","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","3939","
                  <p style=""text-align: center;"">₪39
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","16","evaluation","9","15","9C,25B","60","39","16","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","60","1429259","0.0-17.0-2.14","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","61","1430261","0.0-17.0-0.15","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪11
                                                <br>20%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","4","12C,17C,23C,28C","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","62","1433134","0.0-17.0-1.15","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","2872","
                  <p style=""text-align: center;"">₪11
                                                <br>20%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","5","evaluation","25","4","12C,17C,23C,28C","20","11","5","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","63","1433690","0.0-17.0-2.15","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","64","1434693","0.0-17.0-0.16","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪64
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","24","6A,21A","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","65","1438319","0.0-17.0-1.16","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","3624","
                  <p style=""text-align: center;"">₪64
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","30","evaluation","0","24","6A,21A","25","64","30","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","66","1439663","0.0-17.0-2.16","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","67","1440665","0.0-17.0-0.17","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪11
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","5","12A,27B,28B,30B","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","68","1443678","0.0-17.0-1.17","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","3012","
                  <p style=""text-align: center;"">₪11
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>","3","evaluation","8","5","12A,27B,28B,30B","25","11","3","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","69","1444996","0.0-17.0-2.17","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","70","1445998","0.0-17.0-0.18","9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd","1000","
                  <p style=""text-align: center;"">₪43
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>","-","viewing","0","17","2A,7A,9A,15B","","","","","","","","","","","","","","","","","","",""
